id,title,ministry,description,category,type,state,benefits,eligibility,documents_required,amount,short_benefits,interest_rate,tenure_max,collateral_required,moratorium_months,interest_subvention,lending_partners,subsidy_percentage,subsidy_max_amount,dbt_status,vendor_empanelled,gender,age_min,age_max,income_limit,caste,residence,deadline,status,application_url,tags,applications_count,created_by,created_at,updated_at
0110dca0-ea93-4a43-bbd7-16ce55555edd,PM Kisan Maandhan Yojana,Ministry of Agriculture and Farmers Welfare,"The PM Kisan Maandhan Yojana is a signature government initiative designed to revolutionize the Agriculture sector by providing targeted support to citizens across the nation. This comprehensive scheme is built on the pillars of accessibility, transparency, and impact, ensuring that the benefits reach every eligible individual at the last mile. 
 
Historically, individuals in the Agriculture domain have faced significant systemic hurdles, ranging from high costs of entry to limited resources for growth. The PM Kisan Maandhan Yojana addresses these root causes by offering a multi-faceted approach. Whether it's through direct financial transfers, subsidized services, or infrastructure support, the scheme creates a robust safety net that empowers beneficiaries to achieve their potential.
 
At its core, the PM Kisan Maandhan Yojana is about a pension scheme for small and marginal farmers to ensure old-age security. This means not just providing a one-time relief, but building a sustainable ecosystem where individuals can thrive. Supporting the backbone of our economy, this scheme targets farmers, crop yields, and rural sustainability. The scheme's Agriculture orientation ensures that it is tailored to the specific local needs of diverse demographic groups.
 
Furthermore, the implementation of PM Kisan Maandhan Yojana leverages state-of-the-art digital infrastructure, such as the Direct Benefit Transfer (DBT) mechanism and Aadhaar-linked verification, to eliminate leakages and min",Agriculture,Scheme,Central,"[""Direct financial assistance transferred directly to bank accounts."",""Subsidies on seeds, fertilizers, and agricultural equipment."",""Crop insurance coverage against natural disasters or failure.""]","[""Must own cultivable agricultural land under their name."",""Small and marginal farmers holding less than 2 hectares of land."",""Requires Aadhaar-linked land record verification.""]","[""Land Documents"",""Aadhar Card"",""Bank Account Details""]",6000,"₹6,00,0 Subsidy",,,,,,[],,,,,All,18,60,,"[""OBC"",""SC"",""ST""]",Rural,Ongoing,Active,https://maandhan.in/ or https://pmkmy.gov.in/,"[""agriculture"",""farmer"",""subsidy""]",0,85f6557b-2155-44a7-ac7e-bcb45a5f5bf3,2026-07-25 08:34:57.837,2026-08-16T16:33:47.863680
01d2d8e7-ab0f-4305-b9e2-84c834dc17d4,Soil Health Card Scheme,Ministry of Agriculture and Farmers Welfare,"The Soil Health Card Scheme is a signature government initiative designed to revolutionize the Agriculture sector by providing targeted support to citizens across the nation. This comprehensive scheme is built on the pillars of accessibility, transparency, and impact, ensuring that the benefits reach every eligible individual at the last mile. 
 
Historically, individuals in the Agriculture domain have faced significant systemic hurdles, ranging from high costs of entry to limited resources for growth. The Soil Health Card Scheme addresses these root causes by offering a multi-faceted approach. Whether it's through direct financial transfers, subsidized services, or infrastructure support, the scheme creates a robust safety net that empowers beneficiaries to achieve their potential.
 
At its core, the Soil Health Card Scheme is about providing farmers with soil nutrient status to optimize fertilizer usage. This means not just providing a one-time relief, but building a sustainable ecosystem where individuals can thrive. Supporting the backbone of our economy, this scheme targets farmers, crop yields, and rural sustainability. The scheme's Agriculture orientation ensures that it is tailored to the specific local needs of diverse demographic groups.
 
Furthermore, the implementation of Soil Health Card Scheme leverages state-of-the-art digital infrastructure, such as the Direct Benefit Transfer (DBT) mechanism and Aadhaar-linked verification, to eliminate leakages and minimize ",Agriculture,Scheme,Central,"[""Direct financial assistance transferred directly to bank accounts."",""Subsidies on seeds, fertilizers, and agricultural equipment."",""Crop insurance coverage against natural disasters or failure.""]","[""Must own cultivable agricultural land under their name."",""Small and marginal farmers holding less than 2 hectares of land."",""Requires Aadhaar-linked land record verification.""]","[""Land Documents"",""Aadhar Card"",""Bank Account Details""]",6000,"₹6,000 Subsidy",,,,,,[],,,,,All,18,60,,"[""General"",""OBC"",""SC"",""ST""]",Rural,Ongoing,Active,https://soilhealth.dac.gov.in/,"[""agriculture"",""farmer"",""subsidy""]",0,85f6557b-2155-44a7-ac7e-bcb45a5f5bf3,2026-07-25 08:34:57.837,2026-08-16T16:33:47.863750
052cddb2-a3c6-4dd7-9991-9973cc576d02,National Supercomputing Mission,Ministry of Electronics and IT,"The National Supercomputing Mission is a signature government initiative designed to revolutionize the Technology sector by providing targeted support to citizens across the nation. This comprehensive scheme is built on the pillars of accessibility, transparency, and impact, ensuring that the benefits reach every eligible individual at the last mile. 
 
Historically, individuals in the Technology domain have faced significant systemic hurdles, ranging from high costs of entry to limited resources for growth. The National Supercomputing Mission addresses these root causes by offering a multi-faceted approach. Whether it's through direct financial transfers, subsidized services, or infrastructure support, the scheme creates a robust safety net that empowers beneficiaries to achieve their potential.
 
At its core, the National Supercomputing Mission is about connecting national academic and R&D institutions with a supercomputing grid. This means not just providing a one-time relief, but building a sustainable ecosystem where individuals can thrive. Driving the Digital India vision, this scheme fosters high-tech R&D and digital infrastructure. The scheme's Technology orientation ensures that it is tailored to the specific local needs of diverse demographic groups.
 
Furthermore, the implementation of National Supercomputing Mission leverages state-of-the-art digital infrastructure, such as the Direct Benefit Transfer (DBT) mechanism and Aadhaar-linked verification, to eliminate l",Technology,Scheme,Central,"[""Infrastructure support, design incentives, and R&D grants""]","[""Researchers, tech startups, and electronics manufacturing units""]","[""Project Proposal"",""Company Registration"",""Technical Certifications""]",5000000,"₹50,00,000 Support",,,,,,[],,,,,All,18,60,,"[""General"",""OBC"",""ST""]",Both,Ongoing,Active,,"[""technology"",""digital"",""innovation"",""it""]",0,85f6557b-2155-44a7-ac7e-bcb45a5f5bf3,2026-07-25 08:34:57.837,2026-07-25T08:53:09.507346
06f8dad9-e706-4839-8dbe-733f67b91cb6,Sovereign Gold Bond Scheme,Ministry of Finance,"The Sovereign Gold Bond Scheme is a signature government initiative designed to revolutionize the Finance sector by providing targeted support to citizens across the nation. This comprehensive scheme is built on the pillars of accessibility, transparency, and impact, ensuring that the benefits reach every eligible individual at the last mile. 
 
Historically, individuals in the Finance domain have faced significant systemic hurdles, ranging from high costs of entry to limited resources for growth. The Sovereign Gold Bond Scheme addresses these root causes by offering a multi-faceted approach. Whether it's through direct financial transfers, subsidized services, or infrastructure support, the scheme creates a robust safety net that empowers beneficiaries to achieve their potential.
 
At its core, the Sovereign Gold Bond Scheme is about allowing investors to buy digital gold as an alternative to physical gold. This means not just providing a one-time relief, but building a sustainable ecosystem where individuals can thrive. Enhancing financial inclusion, this scheme provides savings, insurance, and long-term fiscal security. The scheme's Finance orientation ensures that it is tailored to the specific local needs of diverse demographic groups.
 
Furthermore, the implementation of Sovereign Gold Bond Scheme leverages state-of-the-art digital infrastructure, such as the Direct Benefit Transfer (DBT) mechanism and Aadhaar-linked verification, to eliminate leakages and minimize bure",Finance,Scheme,Central,"[""High interest rates, insurance cover, and financial security in old age""]","[""All Indian citizens meeting the specific age and investment criteria""]","[""Aadhar Card"",""Pancard"",""Bank Passbook""]",100000,"₹1,00,000 Support",,,,,,[],,,,,All,0,100,,"[""General"",""OBC"",""SC"",""ST""]",Both,Ongoing,Active,https://www.rbi.org.in/ or https://www.nseindia.com/,"[""finance"",""savings"",""insurance"",""pension""]",0,85f6557b-2155-44a7-ac7e-bcb45a5f5bf3,2026-07-25 08:34:57.837,2026-08-16T16:33:47.863756
08cb7d54-2c87-41f5-8425-a14f225e9f6c,Kisan Vikas Patra,Ministry of Finance,"The Kisan Vikas Patra is a signature government initiative designed to revolutionize the Finance sector by providing targeted support to citizens across the nation. This comprehensive scheme is built on the pillars of accessibility, transparency, and impact, ensuring that the benefits reach every eligible individual at the last mile. 
 
Historically, individuals in the Finance domain have faced significant systemic hurdles, ranging from high costs of entry to limited resources for growth. The Kisan Vikas Patra addresses these root causes by offering a multi-faceted approach. Whether it's through direct financial transfers, subsidized services, or infrastructure support, the scheme creates a robust safety net that empowers beneficiaries to achieve their potential.
 
At its core, the Kisan Vikas Patra is about a long-term savings instrument for farmers and small investors. This means not just providing a one-time relief, but building a sustainable ecosystem where individuals can thrive. Enhancing financial inclusion, this scheme provides savings, insurance, and long-term fiscal security. The scheme's Finance orientation ensures that it is tailored to the specific local needs of diverse demographic groups.
 
Furthermore, the implementation of Kisan Vikas Patra leverages state-of-the-art digital infrastructure, such as the Direct Benefit Transfer (DBT) mechanism and Aadhaar-linked verification, to eliminate leakages and minimize bureaucratic delays. Applicants can track their sta",Finance,Scheme,Central,"[""High interest rates, insurance cover, and financial security in old age""]","[""All Indian citizens meeting the specific age and investment criteria""]","[""Aadhar Card"",""Pancard"",""Bank Passbook""]",100000,"₹1,00,000 Support",,,,,,[],,,,,All,0,100,,"[""General"",""OBC"",""SC"",""ST""]",Both,Ongoing,Active,https://www.indiapost.gov.in/,"[""finance"",""savings"",""insurance"",""pension""]",0,85f6557b-2155-44a7-ac7e-bcb45a5f5bf3,2026-07-25 08:34:57.837,2026-08-16T16:33:47.863759
094ded95-e516-43dd-a606-555d55cd02de,PM Shram Yogi Maandhan,Ministry of Social Justice and Empowerment,"The PM Shram Yogi Maandhan is a signature government initiative designed to revolutionize the Social Welfare sector by providing targeted support to citizens across the nation. This comprehensive scheme is built on the pillars of accessibility, transparency, and impact, ensuring that the benefits reach every eligible individual at the last mile. 
 
Historically, individuals in the Social Welfare domain have faced significant systemic hurdles, ranging from high costs of entry to limited resources for growth. The PM Shram Yogi Maandhan addresses these root causes by offering a multi-faceted approach. Whether it's through direct financial transfers, subsidized services, or infrastructure support, the scheme creates a robust safety net that empowers beneficiaries to achieve their potential.
 
At its core, the PM Shram Yogi Maandhan is about a voluntary and contributory pension scheme for unorganized workers. This means not just providing a one-time relief, but building a sustainable ecosystem where individuals can thrive. Serving the most vulnerable, this program ensures social justice, pensions, and basic safety nets. The scheme's Social Welfare orientation ensures that it is tailored to the specific local needs of diverse demographic groups.
 
Furthermore, the implementation of PM Shram Yogi Maandhan leverages state-of-the-art digital infrastructure, such as the Direct Benefit Transfer (DBT) mechanism and Aadhaar-linked verification, to eliminate leakages and minimize bureaucra",Social Welfare,Scheme,Central,"[""Direct financial support, food security, and social protection""]","[""BPL families, senior citizens, widows, and persons with disabilities""]","[""BPL Card"",""Aadhar Card"",""Disability/Death Certificate""]",2000,"₹2,000 Support",,,,,,[],,,,,All,0,100,100000,"[""General"",""OBC"",""SC"",""ST""]",Both,Ongoing,Active,https://maandhan.in/,"[""social"",""welfare"",""pension"",""poor""]",0,85f6557b-2155-44a7-ac7e-bcb45a5f5bf3,2026-07-25 08:34:57.837,2026-08-16T16:33:47.863761
126623a4-2311-4832-a02e-86b10d5e126a,MSME Innovative Scheme,Ministry of MSME,"The MSME Innovative Scheme is a signature government initiative designed to revolutionize the Business sector by providing targeted support to citizens across the nation. This comprehensive scheme is built on the pillars of accessibility, transparency, and impact, ensuring that the benefits reach every eligible individual at the last mile. 
 
Historically, individuals in the Business domain have faced significant systemic hurdles, ranging from high costs of entry to limited resources for growth. The MSME Innovative Scheme addresses these root causes by offering a multi-faceted approach. Whether it's through direct financial transfers, subsidized services, or infrastructure support, the scheme creates a robust safety net that empowers beneficiaries to achieve their potential.
 
At its core, the MSME Innovative Scheme is about promoting innovation and design thinking in micro, small, and medium enterprises. This means not just providing a one-time relief, but building a sustainable ecosystem where individuals can thrive. Empowering entrepreneurs and startups, this program drives economic growth and industrial innovation. The scheme's Business orientation ensures that it is tailored to the specific local needs of diverse demographic groups.
 
Furthermore, the implementation of MSME Innovative Scheme leverages state-of-the-art digital infrastructure, such as the Direct Benefit Transfer (DBT) mechanism and Aadhaar-linked verification, to eliminate leakages and minimize bureaucrati",Business,Scheme,Central,"[""Collateral-free low-interest working capital and term loans."",""Interest subvention benefits for prompt repayment cycles."",""Capital subsidy on project establishment costs.""]","[""Artisans, micro-business owners, startups, or SC/ST/Women entrepreneurs."",""Requires a viable business project report and proof of activity."",""Age limit: 18 to 65 years at the time of application.""]","[""GST Certificate"",""Pancard"",""Project Report""]",1000000,"₹10,00,000 Support",,,,,,[],,,,,All,18,65,,"[""General"",""OBC"",""SC"",""ST""]",Both,Ongoing,Active,,"[""business"",""msme"",""entrepreneur"",""startup""]",0,85f6557b-2155-44a7-ac7e-bcb45a5f5bf3,2026-07-25 08:34:57.837,2026-07-25T08:53:09.507424
18559689-d7ef-45a1-912b-018d26c24b49,PM Employment Generation Programme,Ministry of MSME,"The PM Employment Generation Programme is a signature government initiative designed to revolutionize the Business sector by providing targeted support to citizens across the nation. This comprehensive scheme is built on the pillars of accessibility, transparency, and impact, ensuring that the benefits reach every eligible individual at the last mile. 
 
Historically, individuals in the Business domain have faced significant systemic hurdles, ranging from high costs of entry to limited resources for growth. The PM Employment Generation Programme addresses these root causes by offering a multi-faceted approach. Whether it's through direct financial transfers, subsidized services, or infrastructure support, the scheme creates a robust safety net that empowers beneficiaries to achieve their potential.
 
At its core, the PM Employment Generation Programme is about generating self-employment opportunities through micro-enterprise setup. This means not just providing a one-time relief, but building a sustainable ecosystem where individuals can thrive. Empowering entrepreneurs and startups, this program drives economic growth and industrial innovation. The scheme's Business orientation ensures that it is tailored to the specific local needs of diverse demographic groups.
 
Furthermore, the implementation of PM Employment Generation Programme leverages state-of-the-art digital infrastructure, such as the Direct Benefit Transfer (DBT) mechanism and Aadhaar-linked verification, to elim",Business,Scheme,Central,"[""Collateral-free low-interest working capital and term loans."",""Interest subvention benefits for prompt repayment cycles."",""Capital subsidy on project establishment costs.""]","[""Artisans, micro-business owners, startups, or SC/ST/Women entrepreneurs."",""Requires a viable business project report and proof of activity."",""Age limit: 18 to 65 years at the time of application.""]","[""GST Certificate"",""Pancard"",""Project Report""]",1000000,"₹10,00,000 Support",,,,,,[],,,,,All,18,65,,"[""OBC"",""ST""]",Both,Ongoing,Active,,"[""business"",""msme"",""entrepreneur"",""startup""]",0,85f6557b-2155-44a7-ac7e-bcb45a5f5bf3,2026-07-25 08:34:57.837,2026-07-25T08:53:09.507442
18ddf66e-29a8-4321-af8c-2fce5db5bce6,PM Suraksha Bima Yojana,Ministry of Finance,"The PM Suraksha Bima Yojana is a signature government initiative designed to revolutionize the Finance sector by providing targeted support to citizens across the nation. This comprehensive scheme is built on the pillars of accessibility, transparency, and impact, ensuring that the benefits reach every eligible individual at the last mile. 
 
Historically, individuals in the Finance domain have faced significant systemic hurdles, ranging from high costs of entry to limited resources for growth. The PM Suraksha Bima Yojana addresses these root causes by offering a multi-faceted approach. Whether it's through direct financial transfers, subsidized services, or infrastructure support, the scheme creates a robust safety net that empowers beneficiaries to achieve their potential.
 
At its core, the PM Suraksha Bima Yojana is about providing accidental death and disability insurance at a very low premium. This means not just providing a one-time relief, but building a sustainable ecosystem where individuals can thrive. Enhancing financial inclusion, this scheme provides savings, insurance, and long-term fiscal security. The scheme's Finance orientation ensures that it is tailored to the specific local needs of diverse demographic groups.
 
Furthermore, the implementation of PM Suraksha Bima Yojana leverages state-of-the-art digital infrastructure, such as the Direct Benefit Transfer (DBT) mechanism and Aadhaar-linked verification, to eliminate leakages and minimize bureaucratic del",Finance,Scheme,Central,"[""High interest rates, insurance cover, and financial security in old age""]","[""All Indian citizens meeting the specific age and investment criteria""]","[""Aadhar Card"",""Pancard"",""Bank Passbook""]",100000,"₹1,00,000 Support",,,,,,[],,,,,All,0,100,,"[""General"",""OBC"",""SC"",""ST""]",Both,Ongoing,Active,https://www.jansuraksha.gov.in/,"[""finance"",""savings"",""insurance"",""pension""]",0,85f6557b-2155-44a7-ac7e-bcb45a5f5bf3,2026-07-25 08:34:57.837,2026-08-16T16:33:47.863765
1ab8d94f-55c3-4898-aab2-c6228d8a7924,Bhashini Mission,Ministry of Electronics and IT,"The Bhashini Mission is a signature government initiative designed to revolutionize the Technology sector by providing targeted support to citizens across the nation. This comprehensive scheme is built on the pillars of accessibility, transparency, and impact, ensuring that the benefits reach every eligible individual at the last mile. 
 
Historically, individuals in the Technology domain have faced significant systemic hurdles, ranging from high costs of entry to limited resources for growth. The Bhashini Mission addresses these root causes by offering a multi-faceted approach. Whether it's through direct financial transfers, subsidized services, or infrastructure support, the scheme creates a robust safety net that empowers beneficiaries to achieve their potential.
 
At its core, the Bhashini Mission is about building a public digital platform for languages using AI. This means not just providing a one-time relief, but building a sustainable ecosystem where individuals can thrive. Driving the Digital India vision, this scheme fosters high-tech R&D and digital infrastructure. The scheme's Technology orientation ensures that it is tailored to the specific local needs of diverse demographic groups.
 
Furthermore, the implementation of Bhashini Mission leverages state-of-the-art digital infrastructure, such as the Direct Benefit Transfer (DBT) mechanism and Aadhaar-linked verification, to eliminate leakages and minimize bureaucratic delays. Applicants can track their status in ",Technology,Scheme,Central,"[""Infrastructure support, design incentives, and R&D grants""]","[""Researchers, tech startups, and electronics manufacturing units""]","[""Project Proposal"",""Company Registration"",""Technical Certifications""]",5000000,"₹50,00,000 Support",,,,,,[],,,,,All,18,60,,"[""General"",""OBC"",""SC"",""ST""]",Both,Ongoing,Active,,"[""technology"",""digital"",""innovation"",""it""]",0,85f6557b-2155-44a7-ac7e-bcb45a5f5bf3,2026-07-25 08:34:57.837,2026-07-25T08:53:09.507474
